,name,occurances,color,ppg
440,Castle Cara Gold (Cara 120),132,50.0,33.9295184625351
441,Bohemian Floor-Malted Wheat Malt,131,2.0,34.92744547613906
442,CaraRye,131,65.87786259541984,35.28548035888248
443,Crystal 65,130,65.0,33.43823131737622
444,NB Gold Malt Syrup,130,4.0,35.92537248974303
445,Crisp Crystal Malt 120L,128,120.0,34.927445476139056
446,Honey (Buckwheat),128,4.734375,41.86615674260419
447,British Roast Barley 625 L,128,622.4609375,21.954394299287404
448,Northern Brewer Light Malt Syrup,127,5.0,33.92951846253511
449,Millet,127,5.062992125984252,33.151606853505236
450,Northern Brewer Dark Malt Syrup,127,30.0,35.925372489743005
451,carabelge,125,17.0,33.9295184625351
452,Corn Grits,125,1.024,36.89934925502051
453,weyermann CaraWheat,124,5.0,33.9295184625351
454,"Wheat, Torrified ()",124,2.0,34.927445476139056
455,Colorado Two-row Pale,124,1.0,36.923299503347
456,Crystal 200L,124,200.0,32.93159144893111
457,Canadian Two-Row Malt,124,5.0,33.9295184625351
458,"Pale Malt, Halcyon ()",124,3.0,37.92122651695097
459,Weyerman Beechwood Smoked Malt,124,3.0,36.89915610785659
460,"Honey, Orange Blossom",122,1.0163934426229508,34.943804935378466
461,CARAMUNICHÂ® III,122,56.114754098360656,34.927445476139056
462,"Wheat Malt, Ger",122,2.221311475409836,38.518346779189415
463,Jaggery,122,5.5,35.38551033484253
464,Rye Crystal,122,99.59016393442623,18.4452902924341
465,Red X,122,13.508196721311476,35.78631708620805
466,Caramunich Malt,121,61.239669421487605,32.74190284303945
467,Dark Munich Malt,121,33.0,33.9295184625351
468,Lyle's Golden Syrup,120,12.285714285714286,35.79231555459584
469,Castle Cara Ruby (Cara 50),120,19.266666666666666,34.96070970992585
470,Soft Candi Sugar - Blond,119,5.296610169491525,37.887682751787814
